
Image Name                     PID Session Name        Session#    Mem Usage
AsusOptimizationStartupTa    10764 Console                   20     15,500 K
svchost.exe                   1292 Services                   0      5,532 K
sihost.exe                   19352 Console                   20     29,528 K
svchost.exe                  10320 Console                   20     31,436 K
svchost.exe                  19896 Console                   20      8,928 K
svchost.exe                  11052 Console                   20     35,500 K
taskhostw.exe                21280 Console                   20     17,824 K
igfxEM.exe                    3984 Console                   20     23,660 K
explorer.exe                 13996 Console                   20    299,044 K
svchost.exe                   4900 Console                   20     20,424 K
StartMenuExperienceHost.e    10132 Console                   20     91,696 K
SearchHost.exe               10592 Console                   20    115,720 K
RuntimeBroker.exe            11288 Console                   20     27,588 K
Widgets.exe                   1708 Console                   20     34,368 K
RuntimeBroker.exe             9028 Console                   20     45,904 K
svchost.exe                  14748 Console                   20     10,068 K
dllhost.exe                  15980 Console                   20     14,908 K
ctfmon.exe                     264 Console                   20     38,104 K
LockApp.exe                  10396 Console                   20     52,804 K
RuntimeBroker.exe             2384 Console                   20     34,588 K
svchost.exe                  10812 Console                   20     14,676 K
TextInputHost.exe            19776 Console                   20    128,900 K
PhoneExperienceHost.exe       7404 Console                   20    129,856 K
WidgetService.exe            12692 Console                   20     22,616 K
RuntimeBroker.exe            17928 Console                   20     13,780 K
SecurityHealthSystray.exe    20080 Console                   20     10,208 K
RtkAudUService64.exe         17508 Console                   20      3,540 K
AdobeCollabSync.exe          18192 Console                   20     13,080 K
AdobeCollabSync.exe          10648 Console                   20     20,020 K
msedge.exe                   12672 Console                   20    349,392 K
msedge.exe                   14280 Console                   20      8,000 K
msedge.exe                   13728 Console                   20    262,976 K
msedge.exe                    2416 Console                   20     62,276 K
msedge.exe                    9244 Console                   20     20,616 K
msedge.exe                   12620 Console                   20    131,824 K
Canva.exe                    14004 Console                   20     28,872 K
Canva.exe                     8360 Console                   20     38,364 K
AsusOSD.exe                   9888 Console                   20     13,692 K
chrome.exe                   14732 Console                   20    195,672 K
chrome.exe                   21308 Console                   20      7,036 K
chrome.exe                    2252 Console                   20    105,880 K
chrome.exe                   17956 Console                   20     43,716 K
chrome.exe                   11276 Console                   20     18,968 K
acrotray.exe                  3392 Console                   20     10,264 K
svchost.exe                  15372 Console                   20     12,404 K
AcrobatNotificationClient    20812 Console                   20      2,600 K
RuntimeBroker.exe            13756 Console                   20      7,216 K
AsusSoftwareManagerAgent.    21152 Console                   20     41,212 K
ApplicationFrameHost.exe      7096 Console                   20     39,592 K
svchost.exe                   4652 Console                   20      9,620 K
ShellExperienceHost.exe      17452 Console                   20     21,240 K
RuntimeBroker.exe             1680 Console                   20     31,796 K
SystemSettingsBroker.exe      9432 Console                   20     30,508 K
msedge.exe                   20492 Console                   20     26,032 K
msedge.exe                    5672 Console                   20     54,884 K
msedge.exe                   15568 Console                   20     73,956 K
msedge.exe                   10836 Console                   20     19,076 K
msedge.exe                    5880 Console                   20      9,088 K
msedge.exe                   19876 Console                   20     70,544 K
msedge.exe                    2096 Console                   20     32,212 K
msedge.exe                   11368 Console                   20     20,104 K
msedge.exe                   18276 Console                   20     76,096 K
msedge.exe                   21228 Console                   20     26,604 K
msedge.exe                   19644 Console                   20     22,464 K
RuntimeBroker.exe            11696 Console                   20     20,548 K
backgroundTaskHost.exe       16764 Console                   20      1,784 K
chrome.exe                   12476 Console                   20     21,144 K
RtkUWP.exe                   12064 Console                   20     40,612 K
RuntimeBroker.exe             7068 Console                   20     14,992 K
idea64.exe                    5628 Console                   20  1,965,744 K
fsnotifier.exe               18872 Console                   20      2,632 K
conhost.exe                   9212 Console                   20      6,332 K
java.exe                     16084 Console                   20     94,824 K
conhost.exe                  10636 Console                   20      6,420 K
java.exe                     20808 Console                   20     96,448 K
conhost.exe                  17156 Console                   20      6,564 K
msedge.exe                   18144 Console                   20    341,904 K
msedge.exe                   14156 Console                   20     81,912 K
chrome.exe                    7328 Console                   20    190,920 K
chrome.exe                    9844 Console                   20     47,076 K
chrome.exe                    5980 Console                   20    168,380 K
dllhost.exe                  16972 Console                   20      8,868 K
chrome.exe                   20392 Console                   20    127,468 K
dllhost.exe                   6480 Console                   20      7,756 K
chrome.exe                    8104 Console                   20     28,428 K
msedge.exe                   17632 Console                   20    145,756 K
svchost.exe                  12684 Services                   0      9,136 K
alg.exe                      21180 Services                   0      7,808 K
SystemSettings.exe            4848 Console                   20     75,448 K
UserOOBEBroker.exe            5708 Console                   20      9,676 K
svchost.exe                  10348 Services                   0      7,500 K
msedge.exe                    2876 Console                   20     62,248 K
msedge.exe                   11196 Console                   20    164,868 K
msedge.exe                   15380 Console                   20     45,628 K
msedge.exe                    5940 Console                   20     45,672 K
svchost.exe                   2884 Services                   0      6,900 K
msedge.exe                   17828 Console                   20     42,284 K
msedge.exe                   20364 Console                   20     51,096 K
msedge.exe                   19656 Console                   20     43,080 K
msedge.exe                   21476 Console                   20     46,844 K
msedge.exe                   17652 Console                   20     44,808 K
msedge.exe                    5872 Console                   20     46,692 K
msedge.exe                   17512 Console                   20     49,252 K
msedge.exe                    6984 Console                   20     56,100 K
msedge.exe                    7896 Console                   20     45,816 K
msedge.exe                    6828 Console                   20     49,548 K
msedge.exe                   18272 Console                   20     47,432 K
msedge.exe                   11960 Console                   20     43,496 K
msedge.exe                    7484 Console                   20     45,564 K
msedge.exe                    3868 Console                   20     43,192 K
msedge.exe                   16176 Console                   20     41,220 K
msedge.exe                   18856 Console                   20     41,160 K
msedge.exe                    2632 Console                   20     41,136 K
msedge.exe                   16532 Console                   20     41,468 K
msedge.exe                    1904 Console                   20     27,948 K
java.exe                     21268 Console                   20     40,504 K
java.exe                     10644 Console                   20     42,216 K
conhost.exe                   6628 Console                   20     11,004 K
conhost.exe                   1272 Console                   20     10,992 K
tasklist.exe                 20472 Console                   20      9,356 K
conhost.exe                  14240 Console                   20     10,880 K
WmiPrvSE.exe                 15732 Services                   0     10,392 K
